ID_CLIENTE;EDAD;SEGMENTO;CLAS_SBS;VINCULACION;SALDO_MEDIO_ENERO;SALDO_MEDIO_FEBRERO;SALDO_MEDIO_MARZO;SALDO_MEDIO_ABRIL;SALDO_MEDIO_MAYO;SALDO_MEDIO_JUNIO;NRO_ACCES_CANAL_ENERO;NRO_ACCES_CANAL_FEBRERO;NRO_ACCES_CANAL_MARZO;NRO_ACCES_CANAL_ABRIL;NRO_ACCES_CANAL_MAYO;NRO_ACCES_CANAL_JUNIO;NRO_ENTID_SSFF_ENERO;NRO_ENTID_SSFF_FEBRERO;NRO_ENTID_SSFF_MARZO;NRO_ENTID_SSFF_ABRIL;NRO_ENTID_SSFF_MAYO;NRO_ENTID_SSFF_JUNIO;SALDO_CANCELADO_TC ;NRO_RECLAMO_ENERO;NRO_RECLAMO_FEBRERO;NRO_RECLAMO_MARZO;NRO_RECLAMO_ABRIL;NRO_RECLAMO_MAYO;NRO_RECLAMO_JUNIO
ID1;59;PRIME;NOR;Estrella;2028470;2035170;2044550;2048830;2055870;2004990;1;1;0;3;1;5;1;1;1;1;1;1;50;0;1;0;1;0;3
ID2;60;CLASICO;NOR;No Vinculado;750000;175000;0;0;0;747940;0;0;0;0;0;0;1;1;1;0;0;0;53;1;0;1;1;0;0
ID3;58;CLASICO;NOR;Estrella;301260;10200;0;0;0;298050;0;0;0;0;0;0;1;1;1;0;0;0;53;0;1;0;2;1;2
ID4;64;VIP;NB  ;No Vinculado;300460;300480;300690;300580;300660;298210;2;4;3;4;4;1;1;1;1;1;0;1;56;1;1;1;0;1;3
ID5;60;VIP;NOR;Basico;296660;297030;297450;298090;298510;296040;6;5;4;6;6;4;6;6;6;6;6;5;80;2;0;1;0;0;1
ID6;63;CLASICO;NOR;Potencial;245210;247320;247840;247820;248050;234790;0;0;0;0;0;0;1;1;1;1;0;1;110;0;1;0;1;0;1
ID7;60;PRIME;NOR;Estrella;176980;177390;177820;178220;178620;176470;1;3;2;2;2;5;1;1;1;1;1;1;56;1;1;0;2;1;0
ID8;56;CLASICO;NOR;Estrella;171730;171760;170600;170520;171780;169200;5;4;3;2;3;0;1;1;1;1;0;1;73;1;0;0;2;0;0
ID9;57;VIP;NOR;Basico;121860;132400;176460;176620;183600;120890;3;2;3;2;0;1;1;1;1;1;0;1;133;0;1;1;0;0;0
ID10;58;PRIME;NOR;Estrella;100620;101130;101680;102220;102740;98670;0;0;0;0;0;0;6;6;6;6;6;6;68;2;1;1;1;1;3
ID11;52;CLASICO;NOR;Estrella;85580;84980;85790;85230;88730;87160;5;2;3;2;3;2;1;1;1;1;1;1;163;2;1;0;1;0;1
ID12;37;VIP;NOR;Basico;59890;61970;64240;66760;68990;56990;0;0;0;0;0;0;1;1;1;1;0;1;61;2;0;1;0;1;2
ID13;47;CLASICO;NOR;Basico;54280;55780;56400;56960;57360;53540;6;12;5;16;16;4;2;2;2;2;2;1;70;2;0;1;1;1;3
ID14;51;CLASICO;NOR;Basico;52490;51520;50910;51430;51780;52420;9;12;8;8;0;0;2;2;2;2;2;3;64;1;0;1;0;1;0
ID15;45;VIP;NOR;No Vinculado;50930;66210;58130;0;0;0;0;0;0;0;0;2;5;5;5;5;5;5;60;0;1;1;0;0;3
ID16;50;PRIME;NOR;Potencial;48390;0;0;0;0;70360;0;0;0;0;0;0;5;5;4;4;5;5;66;2;1;0;1;1;0
ID17;50;CLASICO;NOR;Potencial;47620;48160;48730;49240;49760;46090;0;0;0;0;0;0;2;2;2;2;2;2;133;0;1;1;2;1;3
ID18;51;CLASICO;NOR;Basico;35480;36290;36770;29430;16700;34600;0;0;0;0;0;0;5;5;5;5;5;5;65;2;1;0;1;0;0
ID19;56;PRIME;NOR;Basico;33350;33600;34130;36070;46150;33380;0;0;1;0;0;0;2;2;2;2;2;2;65;2;0;1;2;0;1
ID20;38;CLASICO;NOR;Basico;32360;27490;8830;8540;9060;31300;3;4;3;1;4;4;3;3;3;3;3;3;67;2;0;0;2;0;3
