ID_CLIENTE,EDAD,ESTADO_CIVIL,TIPO_DE_TARJETA,UTILIDAD_PROMEDIO_TC,SALDO_CANCELADO_TC,TOTAL_DE_RECLAMOS,INGRESO_MENSUAL,CUENTA_SUELDO,CANTIDAD_DE_PRODUCTOS_FINANCIERO_DEL_BBVA,ANTIGUEDAD,USO_DE_BANCA_POR_INTERNET,DEUDA_TOTAL_DE_TARJETA_DECREDITO,LINEA_DISPONIBLE_DE_TARJETA_DE_CREDITO,LINEA_TOTAL_DE_TARJETA_DE_CREDITO
ID535,32,1,4,37478,0,1,13000,1,4,0,0,0,75000,75000
ID536,32,1,3,0,0,1,18000,0,4,0,0,0,75000,75000
ID544,56,1,4,55241,0,1,17000,0,4,0,0,0,11000,11000
ID550,32,3,4,-74,0,1,18000,0,3,0,0,1000,33000,34000
ID551,32,0,0,15328,0,1,13000,1,4,4,0,0,52000,52000
ID554,44,3,3,0,0,1,13000,0,4,5,1,9000,0,9000
ID555,44,3,3,1775,0,1,17000,1,2,0,1,9000,20000,29000
ID556,43,3,1,208,0,1,18000,1,2,8,1,0,110000,110000
ID557,43,3,3,328,0,1,15000,1,2,0,1,0,9000,9000
ID561,40,1,0,4280,0,2,12000,1,4,2,0,22000,51000,73000
ID562,40,3,3,12861,0,2,19000,1,3,3,1,47000,110000,157000
ID585,29,0,1,779,0,1,13000,0,4,0,0,0,14000,14000
ID586,29,0,2,0,0,1,12000,1,2,0,1,0,60000,60000
ID587,33,3,0,0,0,1,19000,1,3,5,0,35000,76000,111000
ID588,33,0,0,0,0,1,14000,0,2,2,0,13000,70000,83000
ID602,36,1,2,0,0,2,17000,1,3,1,1,0,50000,50000
ID603,36,1,1,3187,0,2,15000,1,4,0,1,2000,139000,141000
ID606,24,1,4,0,0,1,17000,1,3,0,0,0,18000,18000
ID607,24,3,3,0,0,1,16000,0,3,2,1,37000,89000,126000
ID618,42,3,1,3264,0,2,16000,1,2,0,1,0,3000,3000
ID619,42,0,3,52881,0,2,19000,1,3,2,0,0,18000,18000
ID620,24,3,4,55241,0,1,15000,0,2,0,1,20000,15000,35000
ID625,26,3,1,0,0,2,15000,0,3,3,0,0,40000,40000
ID626,26,1,0,61,0,2,18000,0,2,0,0,0,29000,29000
ID627,25,3,0,-718,0,3,18000,1,4,0,1,8000,37000,45000
ID628,25,3,1,-74,0,3,18000,1,3,0,0,0,13000,13000
ID629,26,1,4,246,0,1,12000,0,3,0,1,9000,0,9000
ID630,26,3,4,3828,0,1,15000,1,2,0,0,0,6000,6000
ID631,79,1,1,1077,0,2,17000,0,4,8,1,0,30000,30000
ID632,79,1,3,0,0,2,16000,0,2,0,1,0,3000,3000
ID637,26,0,1,259,0,3,16000,0,2,1,1,0,34000,34000
ID638,26,3,3,4280,0,3,12000,0,4,9,0,0,40000,40000
ID646,31,1,1,2362,0,1,15000,0,4,0,0,0,60000,60000
ID647,31,1,4,17918,0,1,12000,1,2,0,0,11000,3000,14000
ID654,27,1,2,210,0,2,18000,1,2,0,0,0,80000,80000
ID655,27,1,3,10866,0,2,16000,1,3,0,0,0,100000,100000
ID658,28,1,4,349,0,2,16000,0,3,0,0,0,60000,60000
ID659,28,3,4,1762,0,2,17000,0,2,0,1,0,120000,120000
ID665,23,1,1,3844,0,1,16000,0,2,0,0,5000,19000,24000
ID666,23,3,2,6036,0,1,15000,0,2,6,1,0,69000,69000
ID669,31,1,4,-1,0,0,13000,1,4,1,1,7000,15000,22000
ID670,31,0,0,-246,0,0,14000,1,3,5,1,0,11000,11000
ID673,24,0,2,10202,0,3,15000,0,3,2,1,0,40000,40000
ID674,24,3,1,2647,0,3,19000,1,3,4,1,6000,58000,64000
ID677,71,3,4,0,0,4,12000,0,4,0,0,0,74000,74000
ID678,71,1,3,0,0,4,15000,1,4,0,0,5000,19000,24000
ID681,32,1,0,0,0,3,17000,1,2,5,1,7000,15000,22000
ID682,32,1,1,382,0,3,13000,1,3,8,0,0,50000,50000
ID683,25,1,4,1806,0,1,13000,0,2,0,1,0,17000,17000
ID684,25,0,3,2088,0,1,15000,0,2,5,0,4000,15000,19000
ID686,28,0,0,0,0,3,12000,1,4,3,1,30000,13000,43000
ID687,28,3,4,0,0,3,16000,1,3,4,0,6000,58000,64000
