ID CLIENTE,EDAD,ESTADO CIVIL,TIPO DE TARJETA,"CLASE DE
CLIENTE","UTILIDAD 
PROMEDIO TC",SALDO CANCELADO TC ,"TOTAL DE 
RECLAMOS","INGRESO 
MENSUAL","CUENTA 
SUELDO","CANTIDAD DE PRODUCTO
FINANCIERO DEL BBVA",ANTIGUEDAD,"USO DE BANCA
POR INTERNET","DEUDA TOTAL DE 
TARJETA DECREDITO","LINEA DISPONIBLE DE 
TARJETA DE CREDITO","LINEA TOTAL DE 
TARJETA DE CREDITO"
ID1,59,Divorsiado,Black,PREMIUN, -   ,50,5," 16,000 ",1,4,0,0, -   ," 95,000 "," 95,000 "
ID2,58,Divorsiado,Life signature,PREMIUN, -   ,68,9," 17,000 ",0,3,0,0," 13,000 "," 46,000 "," 59,000 "
ID3,48,Casado,Oro,PREMIUN, -   ,100,5," 15,000 ",0,2,0,1, -   ," 20,000 "," 20,000 "
ID4,65,Soltero,Life plata,CLASICO, -   ,35,4," 18,000 ",0,3,0,0, -   ," 22,000 "," 22,000 "
ID5,44,Divorsiado,Oro,CLASICO, -   ,147,2," 12,000 ",0,2,0,0," 4,000 "," 59,000 "," 63,000 "
ID6,65,Divorsiado,Life signature,CLASICO, -   ,81,7," 15,000 ",0,3,0,1," 5,000 "," 24,000 "," 29,000 "
ID7,48,Casado,Black,PREMIUN, -   ,125,6," 12,000 ",1,4,0,1, -   ," 40,000 "," 40,000 "
ID8,46,Soltero,Black,CLASICO, 867 ,60,4," 14,000 ",1,4,8,1, -   ," 35,000 "," 35,000 "
ID9,51,Casado,Plata,CLASICO," 2,647 ",146,5," 12,000 ",0,3,0,1, -   ," 18,000 "," 18,000 "
ID10,53,Divorsiado,Plata,PREMIUN,-46 ,52,7," 19,000 ",0,2,3,0, -   ," 30,000 "," 30,000 "
ID11,42,Divorsiado,Black,CLASICO, -   ,22,5," 16,000 ",1,3,0,1, -   ," 90,000 "," 90,000 "
ID12,60,Soltero,Oro,PREMIUN, -   ,121,3," 16,000 ",1,3,6,0, -   ," 100,000 "," 100,000 "
ID13,52,Casado,Life signature,CLASICO," 1,512 ",88,5," 14,000 ",0,3,10,0, -   ," 50,000 "," 50,000 "
ID14,60,Casado,Life plata,CLASICO," 36,923 ",34,4," 17,000 ",0,4,2,1, -   ," 50,000 "," 50,000 "
ID15,46,Divorsiado,Life signature,PREMIUN," 3,844 ",95,5," 15,000 ",0,4,0,0, -   ," 50,000 "," 50,000 "
ID16,59,Casado,Life plata,VIP, -   ,124,4," 13,000 ",1,4,0,1," 7,000 "," 4,000 "," 11,000 "
ID17,65,Divorsiado,Black,VIP, -   ,92,6," 17,000 ",1,3,9,0," 21,000 "," 101,000 "," 122,000 "
ID18,63,Divorsiado,Life signature,CLASICO," 19,890 ",76,1," 18,000 ",1,3,0,1, -   ," 60,000 "," 60,000 "
ID19,43,Soltero,Black,PREMIUN, -   ,120,5," 16,000 ",1,3,8,1," 12,000 "," 16,000 "," 28,000 "
ID20,56,Casado,Oro,VIP, -   ,96,6," 17,000 ",0,2,8,0, -   ," 110,000 "," 110,000 "
ID21,59,Divorsiado,Oro,PREMIUN, 332 ,15,5," 15,000 ",0,3,1,1," 11,000 "," 42,000 "," 53,000 "
ID22,56,Soltero,Oro,PREMIUN,-1 ,27,6," 14,000 ",0,3,0,0, -   ," 60,000 "," 60,000 "
ID23,59,Divorsiado,Life plata,CLASICO," 18,480 ",101,4," 17,000 ",1,4,0,1, -   ," 5,000 "," 5,000 "
ID24,37,Casado,Black,VIP, -   ,61,6," 14,000 ",0,4,0,0," 2,000 "," 27,000 "," 29,000 "
ID25,47,Divorsiado,Oro,CLASICO," 11,392 ",23,3," 19,000 ",1,3,0,0, -   ," 120,000 "," 120,000 "
ID26,44,Casado,Oro,PREMIUN," 11,316 ",64,5," 12,000 ",0,3,0,1, -   ," 50,000 "," 50,000 "
ID27,63,Casado,Black,VIP," 1,046 ",115,5," 19,000 ",0,4,0,0," 18,000 "," 21,000 "," 39,000 "
ID28,58,Divorsiado,Black,CLASICO, 328 ,79,7," 18,000 ",1,4,4,1, -   ," 39,000 "," 39,000 "
ID29,51,Divorsiado,Plata,CLASICO," 10,390 ",106,7," 12,000 ",0,2,0,1," 6,000 "," 13,000 "," 19,000 "
ID30,58,Soltero,Life plata,CLASICO, 332 ,140,4," 19,000 ",0,4,9,0," 11,000 "," 64,000 "," 75,000 "
ID31,53,Casado,Life signature,CLASICO," 29,726 ",134,9," 14,000 ",0,3,0,1, -   ," 90,000 "," 90,000 "
ID32,52,Casado,Life plata,CLASICO, -   ,89,3," 19,000 ",0,4,3,1," 23,000 "," 30,000 "," 53,000 "
ID33,37,Divorsiado,Plata,CLASICO," 6,783 ",82,7," 13,000 ",0,4,0,0," 13,000 "," 120,000 "," 133,000 "
ID34,65,Casado,Life signature,VIP, -   ,106,6," 17,000 ",0,4,0,1, -   ," 70,000 "," 70,000 "
ID35,47,Casado,Plata,CLASICO," 37,876 ",70,8," 19,000 ",0,2,2,0, -   ," 100,000 "," 100,000 "
ID36,35,Soltero,Life plata,CLASICO," 4,731 ",110,2," 14,000 ",1,3,0,0, -   ," 100,000 "," 100,000 "
ID37,53,Casado,Life plata,VIP, 3 ,100,4," 15,000 ",0,4,0,1," 47,000 "," 110,000 "," 157,000 "
ID38,63,Divorsiado,Oro,VIP, -   ,38,5," 19,000 ",0,2,1,0, -   ," 93,000 "," 93,000 "
ID39,56,Divorsiado,Plata,CLASICO, -   ,36,6," 18,000 ",1,4,9,1, -   ," 100,000 "," 100,000 "
ID40,65,Soltero,Plata,VIP, -   ,41,6," 15,000 ",1,3,1,0, -   ," 120,000 "," 120,000 "
ID41,64,Casado,Life signature,PREMIUN," 28,954 ",111,4," 14,000 ",1,2,8,0," 19,000 "," 111,000 "," 130,000 "
ID42,54,Divorsiado,Black,CLASICO," 10,866 ",24,9," 12,000 ",1,4,2,0," 3,000 "," 91,000 "," 94,000 "
ID43,46,Casado,Oro,PREMIUN, -   ,31,7," 18,000 ",1,2,4,0," 18,000 "," 15,000 "," 33,000 "
ID44,57,Divorsiado,Life signature,PREMIUN,-261 ,140,6," 19,000 ",1,4,4,0, -   ," 110,000 "," 110,000 "
ID45,55,Casado,Life signature,VIP, -   ,122,6," 19,000 ",0,4,6,0, -   ," 40,000 "," 40,000 "
ID46,51,Casado,Life signature,CLASICO, -   ,64,3," 15,000 ",1,2,0,1," 13,000 "," 120,000 "," 133,000 "
ID47,60,Casado,Life plata,PREMIUN," 30,939 ",37,8," 17,000 ",1,3,0,1," 21,000 "," 2,000 "," 23,000 "
ID48,62,Casado,Plata,PREMIUN, 11 ,99,4," 15,000 ",0,3,0,0," 5,000 "," 12,000 "," 17,000 "
ID49,61,Casado,Oro,VIP, 1 ,44,5," 19,000 ",0,3,9,0, -   ," 90,000 "," 90,000 "
ID50,47,Soltero,Life plata,VIP, -   ,38,3," 19,000 ",0,2,9,1, -   ," 40,000 "," 40,000 "
ID51,36,Casado,Black,PREMIUN," 100,216 ",40,7," 16,000 ",0,2,0,1," 47,000 "," 80,000 "," 127,000 "
ID52,50,Soltero,Life plata,PREMIUN," 15,645 ",85,3," 16,000 ",1,2,1,1, -   ," 40,000 "," 40,000 "
ID53,64,Soltero,Life signature,CLASICO," 7,888 ",127,4," 16,000 ",1,2,1,1," 20,000 "," 5,000 "," 25,000 "
ID54,65,Casado,Life plata,CLASICO, -   ,41,3," 14,000 ",0,3,0,1," 2,000 "," 3,000 "," 5,000 "
ID55,55,Divorsiado,Life plata,CLASICO, -   ,41,6," 19,000 ",1,3,0,1," 2,000 "," 47,000 "," 49,000 "
ID56,44,Casado,Life signature,VIP," 7,743 ",138,5," 15,000 ",0,2,0,1, -   ," 70,000 "," 70,000 "
ID57,45,Casado,Plata,VIP, -   ,60,5," 18,000 ",0,2,0,1," 3,000 "," 91,000 "," 94,000 "
ID58,59,Divorsiado,Black,PREMIUN," 3,187 ",104,2," 17,000 ",1,4,0,0, -   ," 80,000 "," 80,000 "
ID59,51,Casado,Plata,VIP, -   ,123,3," 15,000 ",0,4,0,0," 2,000 "," 9,000 "," 11,000 "
ID60,63,Casado,Life plata,VIP," 56,845 ",36,7," 16,000 ",1,4,1,1, -   ," 21,000 "," 21,000 "
ID61,49,Casado,Life plata,PREMIUN, -   ,66,4," 15,000 ",0,3,0,0, -   ," 75,000 "," 75,000 "
ID62,60,Divorsiado,Life plata,VIP, -   ,85,7," 19,000 ",0,4,2,1, -   ," 120,000 "," 120,000 "
ID63,65,Divorsiado,Life signature,PREMIUN," 15,593 ",129,3," 14,000 ",1,3,7,0," 3,000 "," 8,000 "," 11,000 "
ID64,46,Soltero,Life plata,CLASICO," 4,763 ",25,5," 18,000 ",1,4,0,0," 18,000 "," 51,000 "," 69,000 "
ID65,39,Casado,Life signature,CLASICO," 2,248 ",19,6," 19,000 ",1,3,7,0," 30,000 "," 65,000 "," 95,000 "
ID66,62,Divorsiado,Plata,PREMIUN, -   ,115,6," 17,000 ",0,2,10,0," 21,000 "," 101,000 "," 122,000 "
ID67,37,Soltero,Plata,VIP, -   ,93,6," 19,000 ",1,4,0,1," 9,000 "," 20,000 "," 29,000 "
ID68,50,Divorsiado,Oro,PREMIUN," 15,325 ",66,5," 14,000 ",1,2,0,0," 12,000 "," 70,000 "," 82,000 "
ID69,41,Divorsiado,Life signature,CLASICO," 24,923 ",52,3," 16,000 ",1,2,0,1, -   ," 75,000 "," 75,000 "
ID70,49,Casado,Life signature,CLASICO, 867 ,108,4," 19,000 ",0,4,0,0, -   ," 34,000 "," 34,000 "
ID71,36,Soltero,Plata,CLASICO, -   ,92,4," 12,000 ",1,3,0,1, -   ," 50,000 "," 50,000 "
ID72,62,Casado,Black,VIP," 23,499 ",43,4," 19,000 ",1,2,0,0, -   ," 60,000 "," 60,000 "
